"","row","date","state","fluP","temp","ah","o3","pm2.5"
"154","154",2018-12-10,"Anhui",0.259743060774666,-1.35288381401786,-1.03243264655638,-0.831512975602217,0.850375685145692
"155","155",2018-12-17,"Anhui",0.64375297652483,-0.497352008246131,-0.409115407958013,-0.868941173198067,0.618753139264376
"156","156",2018-12-24,"Anhui",0.710895699993636,-1.36904123957934,-1.17088448219408,-1.03491896362265,-1.22185446483996
"157","157",2018-12-31,"Anhui",0.948037380722851,-1.46171051340106,-1.10432268073838,-1.10062410383416,1.55863598776968
"158","158",2019-01-07,"Anhui",1.13070801872056,-1.32566857029862,-0.852447199207378,-1.25638669086477,0.478860263577412
"159","159",2019-01-14,"Anhui",1.31001680103509,-1.27130222008224,-1.07651575979386,-0.81745118282402,1.73922325542782
"160","160",2019-01-21,"Anhui",1.18983162825058,-1.06471361942196,-1.19079919396739,0.0254020720836667,0.829542379029749
"161","161",2019-01-28,"Anhui",1.1819605940849,-1.04799762630321,-0.746783172539215,-0.789333162857014,1.05246715422285
"162","162",2019-02-04,"Anhui",1.24834887068076,-1.21852219924115,-0.928739925880125,-0.331867883466917,0.913325066693175
"163","163",2019-02-11,"Anhui",0.999256178346188,-1.32701370583991,-0.936311499494287,-0.642496399722263,-0.573013587087748
"164","164",2019-02-18,"Anhui",0.816368050858057,-1.18193864000894,-0.828098968284065,-0.0466396208661869,0.740313437924521
"165","165",2019-02-25,"Anhui",0.840084873166045,-0.705773642868866,-0.559842630666208,0.297356692006128,0.754760458943709
"166","166",2019-03-04,"Anhui",0.776371549891377,-0.367466741731839,-0.565364226407832,0.570011909737513,0.348458385422644
"167","167",2019-03-11,"Anhui",0.701943152364929,0.202792031245077,-0.627393668055537,0.727326562993093,-0.668655369774496
"168","168",2019-03-18,"Anhui",0.406199273563607,0.240972597865907,-0.0688324487134645,0.529487076887922,-0.889248518261396
"169","169",2019-03-25,"Anhui",0.811241457578124,0.375244279476993,-0.0114557693357413,0.492500213968118,-0.739762783618569
"170","170",2019-04-01,"Anhui",0.71784629593302,0.716928205691444,0.162567264104464,1.4816739433451,-0.539269104466419
"171","171",2019-04-08,"Anhui",0.544305882629648,0.433780151281364,0.296382763585777,0.946401920938926,-0.702713704112498
"172","172",2019-04-15,"Anhui",0.582585981721562,1.08906011752696,0.903585830003104,1.21258528784784,-1.0382221874047
"173","173",2019-04-22,"Anhui",0.722434422912418,0.800326825349861,1.07045992569976,-0.0438589427554069,-1.51989035469741
"174","174",2019-04-29,"Anhui",0.783007839087905,1.05671461782327,0.639246316834016,1.4207017946905,-1.59762549542089
"175","175",2019-05-06,"Anhui",0.552965657118808,1.25815912401625,0.479714482793422,1.96959052288543,-1.37169577439815
"176","176",2019-05-13,"Anhui",0.575077220344589,1.51921768297896,1.97284446285203,0.902080820561232,-1.1570367898944
"177","177",2019-05-20,"Anhui",0.442343765776969,1.8606588756697,1.07036839185824,1.52030780825673,-1.51559094564347
"178","178",2019-05-27,"Anhui",0.287795321652925,1.65042623908062,1.23134289620652,1.90703457948162,-1.79867198223626
"179","179",2019-07-01,"Anhui",999,999,999,999,999
"180","180",2020-10-01,"Anhui",999,999,999,999,999
"181","181",2014-10-06,"Beijing",-0.696385129999238,0.8847760316183,1.645089570043,-0.0437136622185983,3.23656690219667
"182","182",2014-10-13,"Beijing",-0.824027972412824,0.638898630513189,0.60331044606602,-0.139694272064748,0.455646461350059
"183","183",2014-10-20,"Beijing",-0.76341186029901,0.621187122767932,1.14007710420127,-0.64719145573051,1.84210401541152
"184","184",2014-10-27,"Beijing",-0.190165574882978,0.380518988999722,0.385412499666225,-0.853730356883241,0.239046033167188
"185","185",2014-11-03,"Beijing",0.160265348356386,-0.00548769332101844,-0.158364437593125,-0.521356425467871,-0.419382379223503
"186","186",2014-11-10,"Beijing",0.270537879317665,-0.252406947559076,-0.508996853156108,-0.707701882458382,-0.528932515242696
"187","187",2014-11-17,"Beijing",0.495607012862634,-0.329504098666171,-0.261263394273487,-1.17984539242647,1.43923108833445
"188","188",2014-11-24,"Beijing",0.969798225990425,-0.443066118537391,-0.261664019922974,-1.10064216517298,1.40874197472657
"189","189",2014-12-01,"Beijing",1.10236672334916,-1.13798233196238,-1.11644973923462,-0.596808043566818,-0.956717011050359
"190","190",2014-12-08,"Beijing",1.25265844326749,-1.01243899804612,-0.894293691622434,-0.824738107558483,0.222921288711771
"191","191",2014-12-15,"Beijing",1.32662848638296,-1.1317312115863,-0.984272900008508,-0.512831806275273,-0.901959230004504
"192","192",2014-12-22,"Beijing",1.2369681508504,-0.895230491287543,-0.781963699685862,-0.96423272351389,0.372084456694665
"193","193",2014-12-29,"Beijing",1.26070396784849,-0.91867219262363,-0.983000454944805,-0.855465184832704,-0.324466652614561
"194","194",2015-01-05,"Beijing",0.995447471510928,-0.836886701246191,-0.940107356183199,-0.740767307433664,0.337085628425841
"195","195",2015-01-12,"Beijing",0.739133937115551,-1.05932240074954,-0.710067316257798,-0.943773637436276,1.94601852343018
"196","196",2015-01-19,"Beijing",0.491576681019804,-0.896272344686162,-0.687601644436027,-0.91660359831791,0.667343703102874
"197","197",2015-01-26,"Beijing",0.570478443425543,-1.16611237353756,-1.0391792985243,-0.564674695405146,-0.522173629781302
"198","198",2015-02-02,"Beijing",0.370494664320781,-0.861370255996525,-0.961305373742198,-0.384737266520109,-0.313188587775381
"199","199",2015-02-09,"Beijing",0.478194768501839,-0.661855331153392,-0.814178765410199,-0.450611795307942,1.57943560125753
"200","200",2015-02-16,"Beijing",0.75021378270261,-0.615492855141458,-0.544985140353776,-0.197110203891278,0.868821846103824
"201","201",2015-02-23,"Beijing",0.389389332651562,-0.71967819448762,-0.75011327658667,-0.304252433646749,-0.00579792200504113
"202","202",2015-03-02,"Beijing",0.388307018706695,-0.510786589103801,-0.817282178705126,-0.0799714503396194,0.904070856353947
"203","203",2015-03-09,"Beijing",0.373741566837565,-0.335755219026629,-0.943939166516785,-0.114959283733932,-0.302528691275155
"204","204",2015-03-16,"Beijing",0.49471657667247,0.437299998841563,-0.495978447051902,0.156356625641059,0.390652425436961
"205","205",2015-03-23,"Beijing",0.641645021549415,0.57117816010306,-0.152103588559969,0.691042489933599,0.317419899028996
"206","206",2015-03-30,"Beijing",0.586754721099503,0.539922558191378,0.54813782939517,0.647724219811764,0.168843529909458
"207","207",2015-04-06,"Beijing",0.251109402877157,0.293524230644817,-0.0116479684595471,0.591589893952678,0.409730427137148
"208","208",2015-04-13,"Beijing",-0.0371258126041457,0.958226695806788,0.17994622478792,0.599792169738948,0.0100550202213922
"209","209",2015-04-20,"Beijing",-0.206580999547591,1.32079167660391,0.478874457720899,1.51453235497012,-0.138745507294798
"210","210",2015-04-27,"Beijing",-0.397181184596472,1.41351662840899,2.15112999314965,1.85832888748015,0.257220484750312
"211","211",2015-05-04,"Beijing",-1.37409402889903,1.01031936511262,0.44881200581743,0.463429331750907,-0.90016661093375
"212","212",2015-05-11,"Beijing",-0.708174219580505,1.36298673903699,1.18869078703694,1.18830547005349,-0.59447713431888
"213","213",2015-05-18,"Beijing",-1.237461183815,1.70367279868191,1.13857147561606,1.89703337737416,-0.37672197547386
"214","214",2015-05-25,"Beijing",-1.37232551701626,2.05686109904774,2.55082139003418,2.8668787201404,0.190936309157257
"215","215",2015-07-01,"Beijing",999,999,999,999,999
"216","216",2015-10-05,"Beijing",-1.26074450448249,0.954580208716276,1.0052436290179,0.743686188386355,1.07079771361526
"217","217",2015-10-12,"Beijing",-1.84305676266424,0.926450167094226,1.36673438683962,0.311430905715418,0.979639465113695
"218","218",2015-10-19,"Beijing",-1.04691317235382,0.495122862285184,1.26869985399338,-0.944915431520105,-0.475595758416432
"219","219",2015-10-26,"Beijing",-1.28049677139933,0.12786954104582,-0.101399391388444,-0.60568607519775,-1.05208430258819
"220","220",2015-11-02,"Beijing",-2.02883518171749,-0.0518501693173243,0.447008403728634,-0.833928384908116,0.473006988520709
"221","221",2015-11-09,"Beijing",-1.77696725088575,-0.0502873892272092,0.758159429418118,-1.46923194119012,2.34271815894908
"222","222",2015-11-16,"Beijing",-0.904800207366336,-0.440461485079913,0.246667883187907,-1.42488838674035,-0.244187673224368
"223","223",2015-11-23,"Beijing",-1.0567540053372,-1.25310713192372,-0.690119488746116,-0.90248263459313,1.18880229699413
"224","224",2015-11-30,"Beijing",-0.700994110116437,-0.797296272301839,-0.519844391253971,-1.02404875301173,1.8009663881636
"225","225",2015-12-07,"Beijing",-0.736894955757183,-0.672794791799819,-0.188429287034363,-1.22764928203481,2.07421642352293
"226","226",2015-12-14,"Beijing",-0.221391813846856,-0.942634820682468,-0.635284674807758,-0.992004728891244,0.0748633994834497
"227","227",2015-12-21,"Beijing",-0.118074669687951,-1.04056903966817,-0.509033705414374,-1.23309028043805,4.14300423569689
"228","228",2015-12-28,"Beijing",0.229536255420115,-0.986392663205668,-0.555478030158706,-1.19419937538003,2.43628890486618
"229","229",2016-01-04,"Beijing",0.627629664067705,-1.22341431019592,-0.982425437775813,-0.646953776134627,-0.78962877890302
"230","230",2016-01-11,"Beijing",0.94384746719004,-1.31822296901702,-1.01445470023098,-0.712571983808947,-0.396233594823785
"231","231",2016-01-18,"Beijing",1.0794795369038,-1.86102858697817,-1.16895049345203,-0.693347899526356,-0.486391004950811
